Partei,Monat,durchschnittlicher Farbanteil
dielinke,2016-06,0.0635
dielinke,2016-07,0.0943
dielinke,2016-08,0.1253
dielinke,2016-09,0.1097
dielinke,2016-10,0.0635
dielinke,2016-11,0.1194
dielinke,2016-12,0.0674
dielinke,2017-01,0.0969
dielinke,2017-02,0.0878
dielinke,2017-03,0.0403
dielinke,2017-04,0.1783
dielinke,2017-05,0.0606
dielinke,2017-06,0.071
dielinke,2017-07,0.0736
dielinke,2017-08,0.075
dielinke,2017-09,0.1086
dielinke,2017-10,0.1233
dielinke,2017-11,0.0824
dielinke,2017-12,0.1217
dielinke,2018-01,0.1212
dielinke,2018-02,0.125
dielinke,2018-03,0.0598
dielinke,2018-04,0.0485
dielinke,2018-05,0.0734
dielinke,2018-06,0.1428
dielinke,2018-07,0.0963
dielinke,2018-08,0.1062
dielinke,2018-09,0.0609
dielinke,2018-10,0.1072
dielinke,2018-11,0.0687
dielinke,2018-12,0.0745
dielinke,2019-01,0.0769
dielinke,2019-02,0.0673
dielinke,2019-03,0.0769
dielinke,2019-04,0.0985
dielinke,2019-05,0.106
dielinke,2019-06,0.0716
dielinke,2019-07,0.086
dielinke,2019-08,0.0635
dielinke,2019-09,0.0927
dielinke,2019-10,0.1272
dielinke,2019-11,0.058
dielinke,2019-12,0.074
dielinke,2020-01,0.1122
dielinke,2020-02,0.0787
dielinke,2020-03,0.1166
dielinke,2020-04,0.0781
dielinke,2020-05,0.1175
dielinke,2020-06,0.0754
dielinke,2020-07,0.0561
dielinke,2020-08,0.096
dielinke,2020-09,0.0677
dielinke,2020-10,0.1016
dielinke,2020-11,0.0773
dielinke,2020-12,0.1031
dielinke,2021-01,0.0847
dielinke,2021-02,0.1048
dielinke,2021-03,0.0511
dielinke,2021-04,0.174
dielinke,2021-05,0.1295
dielinke,2021-06,0.117
dielinke,2021-07,0.106
dielinke,2021-08,0.1388
dielinke,2021-09,0.2154
dielinke,2021-10,0.0889
dielinke,2021-11,0.0708
dielinke,2021-12,0.1329
dielinke,2022-01,0.1265
dielinke,2022-02,0.0849
dielinke,2022-03,0.0726
dielinke,2022-04,0.1157
dielinke,2022-05,0.112
dielinke,2022-06,0.1134
dielinke,2022-07,0.1447
dielinke,2022-08,0.0736
dielinke,2022-09,0.1051
dielinke,2022-10,0.1637
dielinke,2022-11,0.1991
dielinke,2022-12,0.3524
dielinke,2023-01,0.1614
dielinke,2023-02,0.2373
dielinke,2023-03,0.1144
dielinke,2023-04,0.2442
dielinke,2023-05,0.2217
dielinke,2023-06,0.1141
dielinke,2023-07,0.0864
dielinke,2023-08,0.1957
dielinke,2023-09,0.2632
dielinke,2023-10,0.189
dielinke,2023-11,0.207
dielinke,2023-12,0.2934
dielinke,2024-01,0.1995
dielinke,2024-02,0.2104
dielinke,2024-03,0.1549
dielinke,2024-04,0.3763
dielinke,2024-05,0.4224
dielinke,2024-06,0.3386
dielinke,2024-07,0.1741
dielinke,2024-08,0.3461
dielinke,2024-09,0.1998
dielinke,2024-10,0.2661
dielinke,2024-11,0.243
dielinke,2024-12,0.3827
fdp,2014-02,0.0
fdp,2014-03,0.0
fdp,2014-04,0.0
fdp,2014-05,0.0
fdp,2014-06,0.0
fdp,2014-07,0.0
fdp,2014-08,0.0
fdp,2014-09,0.0
fdp,2014-10,0.0
fdp,2014-11,0.0
fdp,2014-12,0.0
fdp,2015-01,0.0
fdp,2015-02,0.0
fdp,2015-03,0.0
fdp,2015-04,0.0
fdp,2015-05,0.0
fdp,2015-06,0.0
fdp,2015-07,0.7297
fdp,2015-08,0.0
fdp,2015-09,0.0
fdp,2015-10,0.0
fdp,2015-11,0.0
fdp,2015-12,0.0
fdp,2016-01,0.0
fdp,2016-02,0.7838
fdp,2016-03,0.1996
fdp,2016-04,0.403
fdp,2016-05,0.3942
fdp,2016-06,0.5757
fdp,2016-07,0.6965
fdp,2016-08,0.3752
fdp,2016-09,0.3872
fdp,2016-10,0.4848
fdp,2016-11,0.4012
fdp,2016-12,0.2263
fdp,2017-01,0.546
fdp,2017-02,0.4301
fdp,2017-03,0.5656
fdp,2017-04,0.1786
fdp,2017-05,0.3057
fdp,2017-06,0.3995
fdp,2017-07,0.1858
fdp,2017-08,0.0917
fdp,2017-09,0.1831
fdp,2017-10,0.6755
fdp,2017-11,0.5492
fdp,2017-12,0.4644
fdp,2018-01,0.6883
fdp,2018-02,0.4491
fdp,2018-03,0.5437
fdp,2018-04,0.4476
fdp,2018-05,0.38
fdp,2018-06,0.5156
fdp,2018-07,0.3386
fdp,2018-08,0.2272
fdp,2018-09,0.1712
fdp,2018-10,0.3534
fdp,2018-11,0.3244
fdp,2018-12,0.5345
fdp,2019-01,0.3701
fdp,2019-02,0.4036
fdp,2019-03,0.2976
fdp,2019-04,0.3222
fdp,2019-05,0.2014
fdp,2019-06,0.2809
fdp,2019-07,0.3079
fdp,2019-08,0.2974
fdp,2019-09,0.4125
fdp,2019-10,0.2896
fdp,2019-11,0.1373
fdp,2019-12,0.3085
fdp,2020-01,0.2936
fdp,2020-02,0.4121
fdp,2020-03,0.3357
fdp,2020-04,0.4844
fdp,2020-05,0.3696
fdp,2020-06,0.2398
fdp,2020-07,0.278
fdp,2020-08,0.2746
fdp,2020-09,0.3085
fdp,2020-10,0.2285
fdp,2020-11,0.1422
fdp,2020-12,0.3268
fdp,2021-01,0.2002
fdp,2021-02,0.2583
fdp,2021-03,0.1949
fdp,2021-04,0.3045
fdp,2021-05,0.2205
fdp,2021-06,0.2578
fdp,2021-07,0.1802
fdp,2021-08,0.3126
fdp,2021-09,0.3357
fdp,2021-10,0.3742
fdp,2021-11,0.5324
fdp,2021-12,0.5071
fdp,2022-01,0.2668
fdp,2022-02,0.275
fdp,2022-03,0.3746
fdp,2022-04,0.4806
fdp,2022-05,0.4387
fdp,2022-06,0.375
fdp,2022-07,0.4745
fdp,2022-08,0.4487
fdp,2022-09,0.3657
fdp,2022-10,0.3417
fdp,2022-11,0.3245
fdp,2022-12,0.4881
fdp,2023-01,0.4836
fdp,2023-02,0.3398
fdp,2023-03,0.4307
fdp,2023-04,0.5914
fdp,2023-05,0.433
fdp,2023-06,0.5416
fdp,2023-07,0.3794
fdp,2023-08,0.241
fdp,2023-09,0.3145
fdp,2023-10,0.4329
fdp,2023-11,0.4155
fdp,2023-12,0.4914
fdp,2024-01,0.4936
fdp,2024-02,0.4757
fdp,2024-03,0.2924
fdp,2024-04,0.713
fdp,2024-05,0.0608
fdp,2024-06,0.384
fdp,2024-07,0.6057
fdp,2024-08,0.595
fdp,2024-09,0.5082
fdp,2024-10,0.6223
fdp,2024-11,0.4875
fdp,2024-12,0.4823
spdde,2014-02,0.0
spdde,2014-03,0.0
spdde,2014-04,0.0
spdde,2014-05,0.0
